#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
269303	31	1114	106549	107539	-	-	ACACA	CHGB	ACAC|ACACAD|ACC|ACC1|ACCA	SCG1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q13085	B2ZZ90|A0A024R0Y2|Q7Z5W8	NP_942135|NP_942134|NP_942136|NP_942131|NP_942133	P05060	-	NP_001810	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269304	52	55052	106568	120374	-	hCG_20417	ACP1	MRPL20	HAAP	L20mt|MRP-L20	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P24666	Q59EH3	NP_001035739|NP_009030|NP_004291	Q9BYC9	-	NP_060441|NP_001305414	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269305	52	54874	106568	120222	-	-	ACP1	FNBP1L	HAAP	C1orf39|TOCA1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P24666	Q59EH3	NP_001035739|NP_009030|NP_004291	Q5T0N5	B4DSI7	NP_001157945|NP_060207|NP_001020119	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269306	54	54978	106570	120314	-	UNQ3047/PRO9863	ACP5	SLC35F6	SPENCDI|TRAP	ANT2BP|C2orf18|TANGO9	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P13686	A0A024R7F8	NP_001308952|NP_001602|NP_001104504|NP_001104505|NP_001104506	Q8N357	-	NP_060347	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269307	51205	54978	119378	120314	UNQ205/PRO231	UNQ3047/PRO9863	ACP6	SLC35F6	ACPL1|LPAP|PACPL1	ANT2BP|C2orf18|TANGO9	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9NPH0	X5D319|X5D289	NP_057445	Q8N357	-	NP_060347	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269308	51205	2788	119378	109050	UNQ205/PRO231	-	ACP6	GNG7	ACPL1|LPAP|PACPL1	-	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9NPH0	X5D319|X5D289	NP_057445	O60262	-	NP_443079	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269309	4185	8614	110351	114172	-	-	ADAM11	STC2	MDC	STC-2|STCRP	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O75078	-	NP_002381	O76061	Q6FHC9	NP_003705	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269310	128	1107	106640	107532	-	-	ADH5	CHD3	ADH-3|ADHX|FALDH|FDH|GSH-FDH|GSNOR	Mi-2a|Mi2-ALPHA|ZFH	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P11766	Q6IRT1	NP_000662	Q12873	B3KWV4|Q2TAZ1	NP_005843|NP_001005273|NP_001005271	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269311	166	51003	106675	119211	-	CGI-125	AES	MED31	AES-1|AES-2|ESP1|GRG|GRG5|Grg-5|TLE5	3110004H13Rik|Soh1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q08117	Q8WY48	NP_945321|NP_001121|NP_945320	Q9Y3C7	-	NP_057144	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269312	166	6457	106675	112354	-	-	AES	SH3GL3	AES-1|AES-2|ESP1|GRG|GRG5|Grg-5|TLE5	CNSA3|EEN-B2|HsT19371|SH3D2C|SH3P13	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q08117	Q8WY48	NP_945321|NP_001121|NP_945320	Q99963	A0A024R215	NP_001288037|NP_001288038|NP_001311116|NP_001311115|NP_001311114|NP_001311113|NP_001311112|NP_001311111|NP_003018	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269313	8644	55284	114196	120572	-	-	AKR1C3	UBE2W	DD3|DDX|HA1753|HAKRB|HAKRe|HSD17B5|PGFS|hluPGFS	UBC-16|UBC16	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P42330	B4DKT3	NP_001240837|NP_003730|NP_001240838	Q96B02	X6REH9|Q96FI0	NP_001257944|NP_060769|NP_001001481	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269314	217	9094	106719	114548	-	-	ALDH2	UNC119	ALDH-E2|ALDHI|ALDM	HRG4|IMD13|POC7|POC7A	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P05091	-	NP_001191818|NP_000681	Q13432	-	NP_473376|NP_005139	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269315	51566	1213	119614	107623	RP4-545K15.2	-	ARMCX3	CLTC	ALEX3|GASP6|dJ545K15.2	CHC|CHC17|CLH-17|CLTCL2|Hc	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9UH62	A0A024RCF9	NP_808817|NP_808816|NP_057691	Q00610	A0A087WVQ6	NP_001275582|NP_004850	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269316	51566	10989	119614	116185	RP4-545K15.2	PIG4	ARMCX3	IMMT	ALEX3|GASP6|dJ545K15.2	HMP|MINOS2|P87|P87/89|P89|PIG52	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9UH62	A0A024RCF9	NP_808817|NP_808816|NP_057691	Q16891	-	NP_001093640|NP_006830|NP_001093639	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269317	51433	7704	119537	113498	-	-	ANAPC5	ZBTB16	APC5	PLZF|ZNF145	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9UJX4	B4DFK4|F5H0F9	NP_001317418|NP_057321|NP_001131031	Q05516	A0A024R3C6	NP_001018011|NP_005997	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269318	308	2222	106805	108516	-	-	ANXA5	FDFT1	ANX5|ENX2|HEL-S-7|PP4|RPRGL3	DGPT|ERG9|SQS|SS	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P08758	V9HWE0	NP_001145	P37268	B4DWP0|B4DND3|B7Z9R8|Q6IAX1	NP_001274671|NP_001274672|NP_001274673|NP_001274674|NP_001274676|NP_001274677|NP_001274685|NP_001274679|NP_001274680|NP_004453|NP_001274678	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269319	309	79577	106806	122724	-	-	ANXA6	CDC73	ANX6|CBP68	C1orf28|FIHP|HPTJT|HRPT1|HRPT2|HYX	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P08133	-	NP_001350043|NP_001180473|NP_001146	Q6P1J9	-	NP_078805	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269320	23028	10989	116667	116185	RP1-184J9.1	PIG4	KDM1A	IMMT	AOF2|BHC110|KDM1|LSD1	HMP|MINOS2|P87|P87/89|P89|PIG52	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O60341	-	NP_055828|NP_001350583|NP_001009999	Q16891	-	NP_001093640|NP_006830|NP_001093639	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269321	23028	60492	116667	121923	RP1-184J9.1	CUA003	KDM1A	CCDC90B	AOF2|BHC110|KDM1|LSD1	MDS011|MDS025	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O60341	-	NP_055828|NP_001350583|NP_001009999	Q9GZT6	-	NP_001273046|NP_001273047|NP_001273045|NP_068597|NP_001273048|NP_001273049	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269322	23028	9094	116667	114548	RP1-184J9.1	-	KDM1A	UNC119	AOF2|BHC110|KDM1|LSD1	HRG4|IMD13|POC7|POC7A	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O60341	-	NP_055828|NP_001350583|NP_001009999	Q13432	-	NP_473376|NP_005139	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269323	60489	5764	121920	111731	MDS019	-	APOBEC3G	PTN	A3G|ARCD|ARP-9|ARP9|CEM-15|CEM15|bK150C2.7|dJ494G10.1	HARP|HBGF8|HBNF|NEGF1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9HC16	-	NP_068594	P21246	A0A024R778	NP_002816	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269324	375	84273	106870	124000	-	-	ARF1	NOA1	-	C4orf14|MTG3|hAtNOS1|hNOA1|mAtNOS1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P84077	A0A024R3Q3	NP_001019398|NP_001019397|NP_001649|NP_001019399	Q8NC60	-	NP_115689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269325	379	3301	106874	109534	-	RP11-54K16.1	ARL4D	DNAJA1	ARF4L|ARL6	DJ-2|DjA1|HDJ2|HSDJ|HSJ2|HSPF4|NEDD7|hDJ-2	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P49703	-	NP_001652	P31689	-	NP_001300968|NP_001530	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269326	379	27436	106874	118169	-	-	ARL4D	EML4	ARF4L|ARL6	C2orf2|ELP120|EMAP-4|EMAPL4|ROPP120	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P49703	-	NP_001652	Q9HC35	B5MBZ0	NP_061936|NP_001138548	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269327	379	23162	106874	116774	-	AC012180.8	ARL4D	MAPK8IP3	ARF4L|ARL6	JIP3|JSAP1|SYD2|syd	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P49703	-	NP_001652	Q9UPT6	E9PFH7|A0A087WYG2	NP_001035529|NP_055948	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269328	379	10397	106874	115669	-	-	ARL4D	NDRG1	ARF4L|ARL6	CAP43|CMT4D|DRG-1|DRG1|GC4|HMSNL|NDR1|NMSL|PROXY1|RIT42|RTP|TARG1|TDD5	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P49703	-	NP_001652	Q92597	Q8N959	NP_001128714|NP_001361774|NP_001361775|NP_001361776|NP_001245362|NP_001245361|NP_001361773|NP_006087	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269329	379	5223	106874	111244	-	RP11-452K12.8	ARL4D	PGAM1	ARF4L|ARL6	HEL-S-35|PGAM-B|PGAMA	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P49703	-	NP_001652	P18669	Q6FHU2	NP_002620|NP_001304008	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269330	379	5589	106874	111575	-	-	ARL4D	PRKCSH	ARF4L|ARL6	AGE-R2|G19P1|PCLD|PKCSH|PLD1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P49703	-	NP_001652	P14314	K7ELL7|B4DJQ5	NP_002734|NP_001276031|NP_001276032|NP_001276033|NP_001001329	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269331	54622	56850	120080	121210	-	-	ARL15	GRIPAP1	ARFRP2	GRASP-1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	Q9NXU5	-	NP_061960	Q4V328	-	NP_064522	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269332	396	86	106889	106601	-	-	ARHGDIA	ACTL6A	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	ACTL6|ARPN-BETA|Arp4|BAF53A|INO80K	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	O96019	-	NP_829888|NP_817126|NP_004292	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269333	396	1027	106889	107461	-	-	ARHGDIA	CDKN1B	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	CDKN4|KIP1|MEN1B|MEN4|P27KIP1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	P46527	Q6I9V6	NP_004055	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269334	396	23327	106889	116915	-	-	ARHGDIA	NEDD4L	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	NEDD4-2|NEDD4.2|RSP5|hNEDD4-2	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	Q96PU5	A0A024R2A4|A0A024R281|B7Z2P9|B7Z6K0	NP_001230889|NP_001138441|NP_001138437|NP_001138436|NP_001138442|NP_001138443|NP_056092|NP_001138438|NP_001138440|NP_001138439	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269335	396	6457	106889	112354	-	-	ARHGDIA	SH3GL3	GDIA1|HEL-S-47e|NPHS8|RHOGDI|RHOGDI-1	CNSA3|EEN-B2|HsT19371|SH3D2C|SH3P13	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P52565	J3QQX2|V9HWE8	NP_001288170|NP_001288171|NP_001288172|NP_004300|NP_001288169|NP_001172006|NP_001172007	Q99963	A0A024R215	NP_001288037|NP_001288038|NP_001311116|NP_001311115|NP_001311114|NP_001311113|NP_001311112|NP_001311111|NP_003018	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269336	10425	27436	115694	118169	HT005	-	ARIH2	EML4	ARI2|TRIAD1	C2orf2|ELP120|EMAP-4|EMAPL4|ROPP120	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O95376	Q6IBL8	NP_006312|NP_001304263|NP_001304262|NP_001336147|NP_001336146|NP_001336145|NP_001336144|NP_001336143|NP_001336142|NP_001336141|NP_001336140|NP_001336149|NP_001336148|NP_001336138|NP_001336139|NP_001336154|NP_001336155|NP_001336156|NP_001336150|NP_001336151|NP_001336152|NP_001336153	Q9HC35	B5MBZ0	NP_061936|NP_001138548	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269337	10425	29062	115694	118837	HT005	HSPC049	ARIH2	WDR91	ARI2|TRIAD1	-	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O95376	Q6IBL8	NP_006312|NP_001304263|NP_001304262|NP_001336147|NP_001336146|NP_001336145|NP_001336144|NP_001336143|NP_001336142|NP_001336141|NP_001336140|NP_001336149|NP_001336148|NP_001336138|NP_001336139|NP_001336154|NP_001336155|NP_001336156|NP_001336150|NP_001336151|NP_001336152|NP_001336153	A4D1P6	-	NP_054868|NP_001349665|NP_001349666|NP_001349667	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269338	10425	3785	115694	109986	HT005	RP11-261N11.2	ARIH2	KCNQ2	ARI2|TRIAD1	BFNC|BFNS1|EBN|EBN1|EIEE7|ENB1|HNSPC|KCNA11|KV7.2|KVEBN1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O95376	Q6IBL8	NP_006312|NP_001304263|NP_001304262|NP_001336147|NP_001336146|NP_001336145|NP_001336144|NP_001336143|NP_001336142|NP_001336141|NP_001336140|NP_001336149|NP_001336148|NP_001336138|NP_001336139|NP_001336154|NP_001336155|NP_001336156|NP_001336150|NP_001336151|NP_001336152|NP_001336153	O43526	Q53Y30	NP_004509|NP_742107|NP_742106|NP_001369164|NP_742104|NP_742105	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269339	10425	147791	115694	127087	HT005	-	ARIH2	LOC147791	ARI2|TRIAD1	-	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O95376	Q6IBL8	NP_006312|NP_001304263|NP_001304262|NP_001336147|NP_001336146|NP_001336145|NP_001336144|NP_001336143|NP_001336142|NP_001336141|NP_001336140|NP_001336149|NP_001336148|NP_001336138|NP_001336139|NP_001336154|NP_001336155|NP_001336156|NP_001336150|NP_001336151|NP_001336152|NP_001336153	-	-	-	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269340	10425	8910	115694	114424	HT005	UNQ433/PRO840	ARIH2	SGCE	ARI2|TRIAD1	DYT11|ESG	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O95376	Q6IBL8	NP_006312|NP_001304263|NP_001304262|NP_001336147|NP_001336146|NP_001336145|NP_001336144|NP_001336143|NP_001336142|NP_001336141|NP_001336140|NP_001336149|NP_001336148|NP_001336138|NP_001336139|NP_001336154|NP_001336155|NP_001336156|NP_001336150|NP_001336151|NP_001336152|NP_001336153	O43556	E9PEH6|C9JR67|B4DP78	NP_001333642|NP_001333646|NP_001333644|NP_001333649|NP_001333648|NP_001092870|NP_001092871|NP_001288068|NP_003910	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269341	10094	116985	115401	125548	-	-	ARPC3	ARAP1	ARC21|p21-Arc	CENTD2	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O15145	-	NP_001274151|NP_001265485	Q96P48	-	NP_001035207|NP_001128662|NP_056057	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269342	10094	3276	115401	109512	-	-	ARPC3	PRMT1	ARC21|p21-Arc	ANM1|HCP1|HRMT1L2|IR1B4	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	O15145	-	NP_001274151|NP_001265485	Q99873	A0A087X1W2|B4DJ87|H7C2I1	NP_001193971|NP_938074|NP_001527	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269343	407	826	106900	107276	RP13-26D14.6	-	ARR3	CAPNS1	ARRX	CALPAIN4|CANP|CANPS|CAPN4|CDPS|CSS1	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P36575	-	NP_004303	P04632	-	NP_001003962|NP_001740|NP_001289561|NP_001289562	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269344	407	6039	106900	111968	RP13-26D14.6	-	ARR3	RNASE6	ARRX	RAD1|RNS6|RNasek6	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P36575	-	NP_004303	Q93091	Q6IB39	NP_005606	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269345	409	6601	106902	112485	-	-	ARRB2	SMARCC2	ARB2|ARR2|BARR2	BAF170|CRACC2|Rsc8	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P32121	K7ENA6|Q68DZ5|Q59EM5	NP_001244257|NP_001244259|NP_001244258|NP_001316993|NP_001244260|NP_004304|NP_945355	Q8TAQ2	F8VXC8|A0A024RB22	NP_001317217|NP_001123892|NP_003066|NP_620706	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269346	415	51004	106908	119212	-	CGI-10	ARSE	COQ6	ASE|CDPX|CDPX1|CDPXR	CGI10|COQ10D6	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P51690	B7Z6V4|B7Z1M0|F5GYY5|A1L484|F5H324	NP_000038|NP_001269557|NP_001269560	Q9Y2Z9	B7Z357	NP_872282|NP_872286	-	-	-	-	-	-	Homo sapiens	Homo sapiens
269347	415	4692	106908	110772	-	-	ARSE	NDN	ASE|CDPX|CDPX1|CDPXR	HsT16328|PWCR	Two-hybrid	physical	Stelzl U (2005)	PUBMED:16169070	9606	9606	High Throughput	1.0	-	-	-	BIOGRID	P51690	B7Z6V4|B7Z1M0|F5GYY5|A1L484|F5H324	NP_000038|NP_001269557|NP_001269560	Q99608	X5D982	NP_002478	-	-	-	-	-	-	Homo sapiens	Homo sapiens
